Packet No.,Hexstream,Split Indexes,Splited Hexstream,True Splited Indexes,True Splited Hexstream,Correctness (Cover or In Field Num. / Inferred Field Num.),Perfection (Accurate Field Num. / Correct Field Num.),Precision,Recall,Accuracy,F1,FPR
1,000100000006ff050000ff00,"[0, 2, 4, 5, 6, 7, 8, 9, 11, 12]",0001 0000 00 06 ff 05 00 00ff 00,"[0, 2, 4, 6, 7, 8, 10, 11, 12]",0001 0000 0006 ff 05 0000 ff 00,0.8888888888888888,0.625,0.75,0.8571428571428571,0.7272727272727273,0.7999999999999999,0.5
2,000200000004ff010101,"[0, 2, 3, 5, 6, 7, 8, 9, 10]",0002 00 0000 04 ff 01 01 01,"[0, 2, 4, 6, 7, 8, 9, 10]",0002 0000 0004 ff 01 01 01,0.875,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.6666666666666666,0.7692307692307692,0.6666666666666666
3,000300000006ff0f00000063,"[0, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12]",0003 00 0000 06 ff 0f 00 00 00 63,"[0, 2, 4, 6, 7, 8, 10, 12]",0003 0000 0006 ff 0f 0000 0063,0.9,0.42857142857142855,0.5555555555555556,0.8333333333333334,0.5454545454545454,0.6666666666666667,0.8
4,000400000010ff010d8b29ede70d104d95377ada2003,"[0, 2, 3, 5, 6, 7, 8, 22]",0004 00 0000 10 ff 01 0d8b29ede70d104d95377ada2003,"[0, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0004 0000 0010 ff 01 0d 8b 29 ed e7 0d 10 4d 95 37 7a da 20 03,0.8571428571428571,0.15789473684210525,0.6666666666666666,0.2222222222222222,0.23809523809523808,0.3333333333333333,0.6666666666666666
5,000500000006ff060000d715,"[0, 2, 4, 5, 6, 7, 8, 10, 12]",0005 0000 00 06 ff 06 0000 d715,"[0, 2, 4, 6, 7, 8, 10, 12]",0005 0000 0006 ff 06 0000 d715,1.0,0.8571428571428571,0.8571428571428571,1.0,0.9090909090909091,0.923076923076923,0.2
Average,-,-,-,-,-,0.9042063492063491,0.5565789473684211,0.7087301587301587,0.7492063492063492,0.6173160173160174,0.6984615384615385,0.5666666666666667
