Hexstream,Split Indexes,Splited Hexstream
000100000006ff050000ff00,"[0, 4, 6, 7, 8, 9, 11, 12]",00010000 0006 ff 05 00 00ff 00
000200000006ff0100000001,"[0, 2, 6, 7, 8, 9, 10, 11, 12]",0002 00000006 ff 01 00 00 00 01
000300000014ff0f000000630d8b29ede70d104d95377ada2003,"[0, 2, 6, 7, 8, 9, 10, 12, 13, 26]",0003 00000014 ff 0f 00 00 0063 0d 8b29ede70d104d95377ada2003
000400000006ff0100000063,"[0, 2, 6, 7, 8, 9, 10, 11, 12]",0004 00000006 ff 01 00 00 00 63
000500000006ff060000d715,"[0, 4, 6, 7, 8, 9, 10, 12]",00050000 0006 ff 06 00 00 d715
