Packet No.,Hexstream,Split Indexes,Splited Hexstream,True Splited Indexes,True Splited Hexstream,Correctness (Cover or In Field Num. / Inferred Field Num.),Perfection (Accurate Field Num. / Correct Field Num.),Precision,Recall,Accuracy,F1,FPR
1,000100000006ff050000ff00,"[0, 4, 6, 7, 9, 11, 12]",00010000 0006 ff 0500 00ff 00,"[0, 2, 4, 6, 7, 8, 10, 11, 12]",0001 0000 0006 ff 05 0000 ff 00,0.6666666666666666,0.375,0.8,0.5714285714285714,0.6363636363636364,0.6666666666666666,0.25
2,000200000006ff0100000001,"[0, 2, 6, 7, 9, 10, 11, 12]",0002 00000006 ff 0100 00 00 01,"[0, 2, 4, 6, 7, 8, 10, 12]",0002 0000 0006 ff 01 0000 0001,0.8571428571428571,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.4
3,000300000014ff0f000000630d8b29ede70d104d95377ada2003,"[0, 2, 6, 7, 9, 10, 12, 13, 26]",0003 00000014 ff 0f00 00 0063 0d 8b29ede70d104d95377ada2003,"[0, 2, 4, 6, 7, 8, 10, 12, 13, 26]",0003 0000 0014 ff 0f 0000 0063 0d 8b29ede70d104d95377ada2003,0.875,0.5555555555555556,0.8571428571428571,0.75,0.88,0.7999999999999999,0.058823529411764705
4,000400000006ff0100000063,"[0, 2, 6, 7, 9, 10, 11, 12]",0004 00000006 ff 0100 00 00 63,"[0, 2, 4, 6, 7, 8, 10, 12]",0004 0000 0006 ff 01 0000 0063,0.8571428571428571,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.4
5,000500000006ff060000d715,"[0, 4, 6, 7, 9, 10, 12]",00050000 0006 ff 0600 00 d715,"[0, 2, 4, 6, 7, 8, 10, 12]",0005 0000 0006 ff 06 0000 d715,0.8333333333333334,0.42857142857142855,0.8,0.6666666666666666,0.7272727272727273,0.7272727272727272,0.2
Average,-,-,-,-,-,0.8178571428571428,0.3861111111111111,0.758095238095238,0.6642857142857143,0.7032727272727273,0.7054545454545453,0.26176470588235295
