Hexstream,Split Indexes,Splited Hexstream
000100000006ff050000ff00,"[0, 2, 4, 5, 6, 7, 8, 9, 11, 12]",0001 0000 00 06 ff 05 00 00ff 00
000200000004ff010101,"[0, 2, 3, 5, 6, 7, 8, 9, 10]",0002 00 0000 04 ff 01 01 01
000300000006ff0f00000063,"[0, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12]",0003 00 0000 06 ff 0f 00 00 00 63
000400000010ff010d8b29ede70d104d95377ada2003,"[0, 2, 3, 5, 6, 7, 8, 22]",0004 00 0000 10 ff 01 0d8b29ede70d104d95377ada2003
000500000006ff060000d715,"[0, 2, 4, 5, 6, 7, 8, 10, 12]",0005 0000 00 06 ff 06 0000 d715
