Packet No.,Hexstream,Split Indexes,Splited Hexstream,True Splited Indexes,True Splited Hexstream,Correctness (Cover or In Field Num. / Inferred Field Num.),Perfection (Accurate Field Num. / Correct Field Num.),Precision,Recall,Accuracy,F1,FPR
1,000100000006ff050000ff00,"[0, 4, 5, 6, 7, 9, 11, 12]",00010000 00 06 ff 0500 00ff 00,"[0, 2, 4, 6, 7, 8, 10, 11, 12]",0001 0000 0006 ff 05 0000 ff 00,0.7142857142857143,0.25,0.6666666666666666,0.5714285714285714,0.5454545454545454,0.6153846153846153,0.5
2,000200000004ff010101,"[0, 2, 3, 5, 6, 7, 9, 10]",0002 00 0000 04 ff 0101 01,"[0, 2, 4, 6, 7, 8, 9, 10]",0002 0000 0004 ff 01 01 01,0.8571428571428571,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.6666666666666666
3,000300000006ff0f00000063,"[0, 2, 3, 5, 6, 7, 9, 10, 11, 12]",0003 00 0000 06 ff 0f00 00 00 63,"[0, 2, 4, 6, 7, 8, 10, 12]",0003 0000 0006 ff 0f 0000 0063,0.7777777777777778,0.2857142857142857,0.5,0.6666666666666666,0.45454545454545453,0.5714285714285715,0.8
4,000400000010ff010d8b29ede70d104d95377ada2003,"[0, 2, 3, 5, 6, 7, 22]",0004 00 0000 10 ff 010d8b29ede70d104d95377ada2003,"[0, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0004 0000 0010 ff 01 0d 8b 29 ed e7 0d 10 4d 95 37 7a da 20 03,0.8333333333333334,0.10526315789473684,0.6,0.16666666666666666,0.19047619047619047,0.2608695652173913,0.6666666666666666
5,000500000006ff060000d715,"[0, 4, 5, 6, 7, 10, 12]",00050000 00 06 ff 060000 d715,"[0, 2, 4, 6, 7, 8, 10, 12]",0005 0000 0006 ff 06 0000 d715,1.0,0.2857142857142857,0.8,0.6666666666666666,0.7272727272727273,0.7272727272727272,0.2
Average,-,-,-,-,-,0.8365079365079365,0.2710526315789473,0.6466666666666667,0.5476190476190476,0.4946608946608947,0.5683244291939944,0.5666666666666667
