Packet No.,Hexstream,Split Indexes,Splited Hexstream,True Splited Indexes,True Splited Hexstream,Correctness (Cover or In Field Num. / Inferred Field Num.),Perfection (Accurate Field Num. / Correct Field Num.),Precision,Recall,Accuracy,F1,FPR
1,000100000006ff050000ff00,"[0, 4, 6, 7, 8, 9, 11, 12]",00010000 0006 ff 05 00 00ff 00,"[0, 2, 4, 6, 7, 8, 10, 11, 12]",0001 0000 0006 ff 05 0000 ff 00,0.8571428571428571,0.5,0.8333333333333334,0.7142857142857143,0.7272727272727273,0.7692307692307692,0.25
2,000200000006ff0100000001,"[0, 2, 6, 7, 8, 9, 10, 11, 12]",0002 00000006 ff 01 00 00 00 01,"[0, 2, 4, 6, 7, 8, 10, 12]",0002 0000 0006 ff 01 0000 0001,1.0,0.42857142857142855,0.7142857142857143,0.8333333333333334,0.7272727272727273,0.7692307692307692,0.4
3,000300000014ff0f000000630d8b29ede70d104d95377ada2003,"[0, 2, 6, 7, 8, 9, 10, 12, 13, 26]",0003 00000014 ff 0f 00 00 0063 0d 8b29ede70d104d95377ada2003,"[0, 2, 4, 6, 7, 8, 10, 12, 13, 26]",0003 0000 0014 ff 0f 0000 0063 0d 8b29ede70d104d95377ada2003,1.0,0.6666666666666666,0.875,0.875,0.92,0.875,0.058823529411764705
4,000400000006ff0100000063,"[0, 2, 6, 7, 8, 9, 10, 11, 12]",0004 00000006 ff 01 00 00 00 63,"[0, 2, 4, 6, 7, 8, 10, 12]",0004 0000 0006 ff 01 0000 0063,1.0,0.42857142857142855,0.7142857142857143,0.8333333333333334,0.7272727272727273,0.7692307692307692,0.4
5,000500000006ff060000d715,"[0, 4, 6, 7, 8, 9, 10, 12]",00050000 0006 ff 06 00 00 d715,"[0, 2, 4, 6, 7, 8, 10, 12]",0005 0000 0006 ff 06 0000 d715,1.0,0.5714285714285714,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.8333333333333334,0.2
Average,-,-,-,-,-,0.9714285714285715,0.519047619047619,0.7940476190476191,0.8178571428571428,0.784,0.8032051282051281,0.26176470588235295
